design_id,title,variant_text,price_cults3d_eur,stl_file,size_mm,estimated_print_time
stl_coaster_dnd_01,"Roll Initiative Coaster STL — 3D Print Ready, Dnd Aesthetic",Roll Initiative,2.0,coaster_dnd_01_roll_initiative.stl,95Ø×4,45 min
stl_coaster_dnd_02,"Natural 20 Coaster STL — 3D Print Ready, Dnd Aesthetic",Natural 20,2.0,coaster_dnd_02_natural_20.stl,95Ø×4,45 min
stl_coaster_dnd_03,"Critical Hit Coaster STL — 3D Print Ready, Dnd Aesthetic",Critical Hit,2.0,coaster_dnd_03_critical_hit.stl,95Ø×4,45 min
stl_coaster_dnd_04,"Dungeon Master Coaster STL — 3D Print Ready, Dnd Aesthetic",Dungeon Master,2.0,coaster_dnd_04_dungeon_master.stl,95Ø×4,45 min
stl_coaster_dnd_05,"Adventure Awaits Coaster STL — 3D Print Ready, Dnd Aesthetic",Adventure Awaits,2.0,coaster_dnd_05_adventure_awaits.stl,95Ø×4,45 min
stl_coaster_dnd_06,"Loot Goblin Coaster STL — 3D Print Ready, Dnd Aesthetic",Loot Goblin,2.0,coaster_dnd_06_loot_goblin.stl,95Ø×4,45 min
stl_coaster_dnd_07,"Bard Energy Coaster STL — 3D Print Ready, Dnd Aesthetic",Bard Energy,2.0,coaster_dnd_07_bard_energy.stl,95Ø×4,45 min
stl_coaster_dnd_08,"Wizard Vibes Coaster STL — 3D Print Ready, Dnd Aesthetic",Wizard Vibes,2.0,coaster_dnd_08_wizard_vibes.stl,95Ø×4,45 min
