design_id,title,variant_text,price_cults3d_eur,stl_file,size_mm,estimated_print_time
stl_door_plate_minimalist_01,"Read More Door plate STL — 3D Print Ready, Minimalist Aesthetic",Read More,2.5,door_plate_minimalist_01_read_more.stl,80×30×4,35 min
stl_door_plate_minimalist_02,"Stay Curious Door plate STL — 3D Print Ready, Minimalist Aesthetic",Stay Curious,2.5,door_plate_minimalist_02_stay_curious.stl,80×30×4,35 min
stl_door_plate_minimalist_03,"Less Stuff Door plate STL — 3D Print Ready, Minimalist Aesthetic",Less Stuff,2.5,door_plate_minimalist_03_less_stuff.stl,80×30×4,35 min
stl_door_plate_minimalist_04,"Slow Down Door plate STL — 3D Print Ready, Minimalist Aesthetic",Slow Down,2.5,door_plate_minimalist_04_slow_down.stl,80×30×4,35 min
stl_door_plate_minimalist_05,"Be Here Now Door plate STL — 3D Print Ready, Minimalist Aesthetic",Be Here Now,2.5,door_plate_minimalist_05_be_here_now.stl,80×30×4,35 min
stl_door_plate_minimalist_06,"Choose Joy Door plate STL — 3D Print Ready, Minimalist Aesthetic",Choose Joy,2.5,door_plate_minimalist_06_choose_joy.stl,80×30×4,35 min
stl_door_plate_minimalist_07,"Begin Again Door plate STL — 3D Print Ready, Minimalist Aesthetic",Begin Again,2.5,door_plate_minimalist_07_begin_again.stl,80×30×4,35 min
stl_door_plate_minimalist_08,"Stay Soft Door plate STL — 3D Print Ready, Minimalist Aesthetic",Stay Soft,2.5,door_plate_minimalist_08_stay_soft.stl,80×30×4,35 min
