design_id,title,variant_text,price_cults3d_eur,stl_file,size_mm,estimated_print_time
stl_keychain_minimalist_01,"Read More Keychain STL — 3D Print Ready, Minimalist Aesthetic",Read More,1.2,keychain_minimalist_01_read_more.stl,30×50×4,20 min
stl_keychain_minimalist_02,"Stay Curious Keychain STL — 3D Print Ready, Minimalist Aesthetic",Stay Curious,1.2,keychain_minimalist_02_stay_curious.stl,30×50×4,20 min
stl_keychain_minimalist_03,"Less Stuff Keychain STL — 3D Print Ready, Minimalist Aesthetic",Less Stuff,1.2,keychain_minimalist_03_less_stuff.stl,30×50×4,20 min
stl_keychain_minimalist_04,"Slow Down Keychain STL — 3D Print Ready, Minimalist Aesthetic",Slow Down,1.2,keychain_minimalist_04_slow_down.stl,30×50×4,20 min
stl_keychain_minimalist_05,"Be Here Now Keychain STL — 3D Print Ready, Minimalist Aesthetic",Be Here Now,1.2,keychain_minimalist_05_be_here_now.stl,30×50×4,20 min
stl_keychain_minimalist_06,"Choose Joy Keychain STL — 3D Print Ready, Minimalist Aesthetic",Choose Joy,1.2,keychain_minimalist_06_choose_joy.stl,30×50×4,20 min
stl_keychain_minimalist_07,"Begin Again Keychain STL — 3D Print Ready, Minimalist Aesthetic",Begin Again,1.2,keychain_minimalist_07_begin_again.stl,30×50×4,20 min
stl_keychain_minimalist_08,"Stay Soft Keychain STL — 3D Print Ready, Minimalist Aesthetic",Stay Soft,1.2,keychain_minimalist_08_stay_soft.stl,30×50×4,20 min
