design_id,title,variant_text,price_cults3d_eur,stl_file,size_mm,estimated_print_time
stl_door_plate_dnd_01,"Roll Initiative Door plate STL — 3D Print Ready, Dnd Aesthetic",Roll Initiative,2.5,door_plate_dnd_01_roll_initiative.stl,80×30×4,35 min
stl_door_plate_dnd_02,"Natural 20 Door plate STL — 3D Print Ready, Dnd Aesthetic",Natural 20,2.5,door_plate_dnd_02_natural_20.stl,80×30×4,35 min
stl_door_plate_dnd_03,"Critical Hit Door plate STL — 3D Print Ready, Dnd Aesthetic",Critical Hit,2.5,door_plate_dnd_03_critical_hit.stl,80×30×4,35 min
stl_door_plate_dnd_04,"Dungeon Master Door plate STL — 3D Print Ready, Dnd Aesthetic",Dungeon Master,2.5,door_plate_dnd_04_dungeon_master.stl,80×30×4,35 min
stl_door_plate_dnd_05,"Adventure Awaits Door plate STL — 3D Print Ready, Dnd Aesthetic",Adventure Awaits,2.5,door_plate_dnd_05_adventure_awaits.stl,80×30×4,35 min
stl_door_plate_dnd_06,"Loot Goblin Door plate STL — 3D Print Ready, Dnd Aesthetic",Loot Goblin,2.5,door_plate_dnd_06_loot_goblin.stl,80×30×4,35 min
stl_door_plate_dnd_07,"Bard Energy Door plate STL — 3D Print Ready, Dnd Aesthetic",Bard Energy,2.5,door_plate_dnd_07_bard_energy.stl,80×30×4,35 min
stl_door_plate_dnd_08,"Wizard Vibes Door plate STL — 3D Print Ready, Dnd Aesthetic",Wizard Vibes,2.5,door_plate_dnd_08_wizard_vibes.stl,80×30×4,35 min
