design_id,title,tags_etsy,price_etsy,format,dimensions_in,dimensions_px
coffee_humor_01,Funny Coffee Typography Over Coffee Tumbler Wrap — Sublimation PNG,"coffee tumbler, funny coffee, caffeine addict, coffee mom, but first coffee, barista gift, office humor tumbler, morning person, espresso, coffee lover gift, tumbler quote, coffee wrap, monday motivation",3.99,20oz Straight Tumbler Wrap,9.3x8.3,2790x2490
coffee_humor_02,Funny Coffee Over Coffee Cups Tumbler Wrap — Sublimation PNG,"coffee tumbler, funny coffee, caffeine addict, coffee mom, but first coffee, barista gift, office humor tumbler, morning person, espresso, coffee lover gift, tumbler quote, coffee wrap, monday motivation",3.99,20oz Straight Tumbler Wrap,9.3x8.3,2790x2490
coffee_humor_03,Funny Coffee Over Coffee Cups Tumbler Wrap — Sublimation PNG,"coffee tumbler, funny coffee, caffeine addict, coffee mom, but first coffee, barista gift, office humor tumbler, morning person, espresso, coffee lover gift, tumbler quote, coffee wrap, monday motivation",3.99,20oz Straight Tumbler Wrap,9.3x8.3,2790x2490
coffee_humor_04,Funny Coffee Over Typographic Coffee Tumbler Wrap — Sublimation PNG,"coffee tumbler, funny coffee, caffeine addict, coffee mom, but first coffee, barista gift, office humor tumbler, morning person, espresso, coffee lover gift, tumbler quote, coffee wrap, monday motivation",3.99,20oz Straight Tumbler Wrap,9.3x8.3,2790x2490
coffee_humor_05,Funny Coffee Over Cute Coffee Tumbler Wrap — Sublimation PNG,"coffee tumbler, funny coffee, caffeine addict, coffee mom, but first coffee, barista gift, office humor tumbler, morning person, espresso, coffee lover gift, tumbler quote, coffee wrap, monday motivation",3.99,20oz Straight Tumbler Wrap,9.3x8.3,2790x2490
