design_id,title,variant_text,price_cults3d_eur,stl_file,size_mm,estimated_print_time
stl_bookmark_dnd_01,"Roll Initiative Bookmark STL — 3D Print Ready, Dnd Aesthetic",Roll Initiative,1.5,bookmark_dnd_01_roll_initiative.stl,25×100×2.5,25 min
stl_bookmark_dnd_02,"Natural 20 Bookmark STL — 3D Print Ready, Dnd Aesthetic",Natural 20,1.5,bookmark_dnd_02_natural_20.stl,25×100×2.5,25 min
stl_bookmark_dnd_03,"Critical Hit Bookmark STL — 3D Print Ready, Dnd Aesthetic",Critical Hit,1.5,bookmark_dnd_03_critical_hit.stl,25×100×2.5,25 min
stl_bookmark_dnd_04,"Dungeon Master Bookmark STL — 3D Print Ready, Dnd Aesthetic",Dungeon Master,1.5,bookmark_dnd_04_dungeon_master.stl,25×100×2.5,25 min
stl_bookmark_dnd_05,"Adventure Awaits Bookmark STL — 3D Print Ready, Dnd Aesthetic",Adventure Awaits,1.5,bookmark_dnd_05_adventure_awaits.stl,25×100×2.5,25 min
stl_bookmark_dnd_06,"Loot Goblin Bookmark STL — 3D Print Ready, Dnd Aesthetic",Loot Goblin,1.5,bookmark_dnd_06_loot_goblin.stl,25×100×2.5,25 min
stl_bookmark_dnd_07,"Bard Energy Bookmark STL — 3D Print Ready, Dnd Aesthetic",Bard Energy,1.5,bookmark_dnd_07_bard_energy.stl,25×100×2.5,25 min
stl_bookmark_dnd_08,"Wizard Vibes Bookmark STL — 3D Print Ready, Dnd Aesthetic",Wizard Vibes,1.5,bookmark_dnd_08_wizard_vibes.stl,25×100×2.5,25 min
