design_id,title,variant_text,price_cults3d_eur,stl_file,size_mm,estimated_print_time
stl_bookmark_minimalist_01,"Read More Bookmark STL — 3D Print Ready, Minimalist Aesthetic",Read More,1.5,bookmark_minimalist_01_read_more.stl,25×100×2.5,25 min
stl_bookmark_minimalist_02,"Stay Curious Bookmark STL — 3D Print Ready, Minimalist Aesthetic",Stay Curious,1.5,bookmark_minimalist_02_stay_curious.stl,25×100×2.5,25 min
stl_bookmark_minimalist_03,"Less Stuff Bookmark STL — 3D Print Ready, Minimalist Aesthetic",Less Stuff,1.5,bookmark_minimalist_03_less_stuff.stl,25×100×2.5,25 min
stl_bookmark_minimalist_04,"Slow Down Bookmark STL — 3D Print Ready, Minimalist Aesthetic",Slow Down,1.5,bookmark_minimalist_04_slow_down.stl,25×100×2.5,25 min
stl_bookmark_minimalist_05,"Be Here Now Bookmark STL — 3D Print Ready, Minimalist Aesthetic",Be Here Now,1.5,bookmark_minimalist_05_be_here_now.stl,25×100×2.5,25 min
stl_bookmark_minimalist_06,"Choose Joy Bookmark STL — 3D Print Ready, Minimalist Aesthetic",Choose Joy,1.5,bookmark_minimalist_06_choose_joy.stl,25×100×2.5,25 min
stl_bookmark_minimalist_07,"Begin Again Bookmark STL — 3D Print Ready, Minimalist Aesthetic",Begin Again,1.5,bookmark_minimalist_07_begin_again.stl,25×100×2.5,25 min
stl_bookmark_minimalist_08,"Stay Soft Bookmark STL — 3D Print Ready, Minimalist Aesthetic",Stay Soft,1.5,bookmark_minimalist_08_stay_soft.stl,25×100×2.5,25 min
