design_id,title,variant_text,price_cults3d_eur,stl_file,size_mm,estimated_print_time
stl_door_plate_booklover_01,"One More Chapter Door plate STL — 3D Print Ready, Booklover Aesthetic",One More Chapter,2.5,door_plate_booklover_01_one_more_chapter.stl,80×30×4,35 min
stl_door_plate_booklover_02,"Plot Twist Door plate STL — 3D Print Ready, Booklover Aesthetic",Plot Twist,2.5,door_plate_booklover_02_plot_twist.stl,80×30×4,35 min
stl_door_plate_booklover_03,"Read Now Cry Later Door plate STL — 3D Print Ready, Booklover Aesthetic",Read Now Cry Later,2.5,door_plate_booklover_03_read_now_cry_later.stl,80×30×4,35 min
stl_door_plate_booklover_04,"Book Hangover Door plate STL — 3D Print Ready, Booklover Aesthetic",Book Hangover,2.5,door_plate_booklover_04_book_hangover.stl,80×30×4,35 min
stl_door_plate_booklover_05,"Library Goblin Door plate STL — 3D Print Ready, Booklover Aesthetic",Library Goblin,2.5,door_plate_booklover_05_library_goblin.stl,80×30×4,35 min
stl_door_plate_booklover_06,"Smut Reader Door plate STL — 3D Print Ready, Booklover Aesthetic",Smut Reader,2.5,door_plate_booklover_06_smut_reader.stl,80×30×4,35 min
stl_door_plate_booklover_07,"Spicy Books Door plate STL — 3D Print Ready, Booklover Aesthetic",Spicy Books,2.5,door_plate_booklover_07_spicy_books.stl,80×30×4,35 min
stl_door_plate_booklover_08,"Reading Era Door plate STL — 3D Print Ready, Booklover Aesthetic",Reading Era,2.5,door_plate_booklover_08_reading_era.stl,80×30×4,35 min
