design_id,title,variant_text,price_cults3d_eur,stl_file,size_mm,estimated_print_time
stl_coaster_witchy_01,"Hex Friendly Coaster STL — 3D Print Ready, Witchy Aesthetic",Hex Friendly,2.0,coaster_witchy_01_hex_friendly.stl,95Ø×4,45 min
stl_coaster_witchy_02,"Moon Child Coaster STL — 3D Print Ready, Witchy Aesthetic",Moon Child,2.0,coaster_witchy_02_moon_child.stl,95Ø×4,45 min
stl_coaster_witchy_03,"Witchy Vibes Coaster STL — 3D Print Ready, Witchy Aesthetic",Witchy Vibes,2.0,coaster_witchy_03_witchy_vibes.stl,95Ø×4,45 min
stl_coaster_witchy_04,"Coven Member Coaster STL — 3D Print Ready, Witchy Aesthetic",Coven Member,2.0,coaster_witchy_04_coven_member.stl,95Ø×4,45 min
stl_coaster_witchy_05,"Spell Cast Coaster STL — 3D Print Ready, Witchy Aesthetic",Spell Cast,2.0,coaster_witchy_05_spell_cast.stl,95Ø×4,45 min
stl_coaster_witchy_06,"Crystal Heart Coaster STL — 3D Print Ready, Witchy Aesthetic",Crystal Heart,2.0,coaster_witchy_06_crystal_heart.stl,95Ø×4,45 min
stl_coaster_witchy_07,"Stay Wild Coaster STL — 3D Print Ready, Witchy Aesthetic",Stay Wild,2.0,coaster_witchy_07_stay_wild.stl,95Ø×4,45 min
stl_coaster_witchy_08,"Magic Maker Coaster STL — 3D Print Ready, Witchy Aesthetic",Magic Maker,2.0,coaster_witchy_08_magic_maker.stl,95Ø×4,45 min
