design_id,title,variant_text,price_cults3d_eur,stl_file,size_mm,estimated_print_time
stl_keychain_witchy_01,"Hex Friendly Keychain STL — 3D Print Ready, Witchy Aesthetic",Hex Friendly,1.2,keychain_witchy_01_hex_friendly.stl,30×50×4,20 min
stl_keychain_witchy_02,"Moon Child Keychain STL — 3D Print Ready, Witchy Aesthetic",Moon Child,1.2,keychain_witchy_02_moon_child.stl,30×50×4,20 min
stl_keychain_witchy_03,"Witchy Vibes Keychain STL — 3D Print Ready, Witchy Aesthetic",Witchy Vibes,1.2,keychain_witchy_03_witchy_vibes.stl,30×50×4,20 min
stl_keychain_witchy_04,"Coven Member Keychain STL — 3D Print Ready, Witchy Aesthetic",Coven Member,1.2,keychain_witchy_04_coven_member.stl,30×50×4,20 min
stl_keychain_witchy_05,"Spell Cast Keychain STL — 3D Print Ready, Witchy Aesthetic",Spell Cast,1.2,keychain_witchy_05_spell_cast.stl,30×50×4,20 min
stl_keychain_witchy_06,"Crystal Heart Keychain STL — 3D Print Ready, Witchy Aesthetic",Crystal Heart,1.2,keychain_witchy_06_crystal_heart.stl,30×50×4,20 min
stl_keychain_witchy_07,"Stay Wild Keychain STL — 3D Print Ready, Witchy Aesthetic",Stay Wild,1.2,keychain_witchy_07_stay_wild.stl,30×50×4,20 min
stl_keychain_witchy_08,"Magic Maker Keychain STL — 3D Print Ready, Witchy Aesthetic",Magic Maker,1.2,keychain_witchy_08_magic_maker.stl,30×50×4,20 min
