design_id,title,variant_text,price_cults3d_eur,stl_file,size_mm,estimated_print_time
stl_bookmark_booklover_01,"One More Chapter Bookmark STL — 3D Print Ready, Booklover Aesthetic",One More Chapter,1.5,bookmark_booklover_01_one_more_chapter.stl,25×100×2.5,25 min
stl_bookmark_booklover_02,"Plot Twist Bookmark STL — 3D Print Ready, Booklover Aesthetic",Plot Twist,1.5,bookmark_booklover_02_plot_twist.stl,25×100×2.5,25 min
stl_bookmark_booklover_03,"Read Now Cry Later Bookmark STL — 3D Print Ready, Booklover Aesthetic",Read Now Cry Later,1.5,bookmark_booklover_03_read_now_cry_later.stl,25×100×2.5,25 min
stl_bookmark_booklover_04,"Book Hangover Bookmark STL — 3D Print Ready, Booklover Aesthetic",Book Hangover,1.5,bookmark_booklover_04_book_hangover.stl,25×100×2.5,25 min
stl_bookmark_booklover_05,"Library Goblin Bookmark STL — 3D Print Ready, Booklover Aesthetic",Library Goblin,1.5,bookmark_booklover_05_library_goblin.stl,25×100×2.5,25 min
stl_bookmark_booklover_06,"Smut Reader Bookmark STL — 3D Print Ready, Booklover Aesthetic",Smut Reader,1.5,bookmark_booklover_06_smut_reader.stl,25×100×2.5,25 min
stl_bookmark_booklover_07,"Spicy Books Bookmark STL — 3D Print Ready, Booklover Aesthetic",Spicy Books,1.5,bookmark_booklover_07_spicy_books.stl,25×100×2.5,25 min
stl_bookmark_booklover_08,"Reading Era Bookmark STL — 3D Print Ready, Booklover Aesthetic",Reading Era,1.5,bookmark_booklover_08_reading_era.stl,25×100×2.5,25 min
