design_id,title,variant_text,price_cults3d_eur,stl_file,size_mm,estimated_print_time
stl_keychain_dnd_01,"Roll Initiative Keychain STL — 3D Print Ready, Dnd Aesthetic",Roll Initiative,1.2,keychain_dnd_01_roll_initiative.stl,30×50×4,20 min
stl_keychain_dnd_02,"Natural 20 Keychain STL — 3D Print Ready, Dnd Aesthetic",Natural 20,1.2,keychain_dnd_02_natural_20.stl,30×50×4,20 min
stl_keychain_dnd_03,"Critical Hit Keychain STL — 3D Print Ready, Dnd Aesthetic",Critical Hit,1.2,keychain_dnd_03_critical_hit.stl,30×50×4,20 min
stl_keychain_dnd_04,"Dungeon Master Keychain STL — 3D Print Ready, Dnd Aesthetic",Dungeon Master,1.2,keychain_dnd_04_dungeon_master.stl,30×50×4,20 min
stl_keychain_dnd_05,"Adventure Awaits Keychain STL — 3D Print Ready, Dnd Aesthetic",Adventure Awaits,1.2,keychain_dnd_05_adventure_awaits.stl,30×50×4,20 min
stl_keychain_dnd_06,"Loot Goblin Keychain STL — 3D Print Ready, Dnd Aesthetic",Loot Goblin,1.2,keychain_dnd_06_loot_goblin.stl,30×50×4,20 min
stl_keychain_dnd_07,"Bard Energy Keychain STL — 3D Print Ready, Dnd Aesthetic",Bard Energy,1.2,keychain_dnd_07_bard_energy.stl,30×50×4,20 min
stl_keychain_dnd_08,"Wizard Vibes Keychain STL — 3D Print Ready, Dnd Aesthetic",Wizard Vibes,1.2,keychain_dnd_08_wizard_vibes.stl,30×50×4,20 min
