design_id,title,variant_text,price_cults3d_eur,stl_file,size_mm,estimated_print_time
stl_coaster_minimalist_01,"Read More Coaster STL — 3D Print Ready, Minimalist Aesthetic",Read More,2.0,coaster_minimalist_01_read_more.stl,95Ø×4,45 min
stl_coaster_minimalist_02,"Stay Curious Coaster STL — 3D Print Ready, Minimalist Aesthetic",Stay Curious,2.0,coaster_minimalist_02_stay_curious.stl,95Ø×4,45 min
stl_coaster_minimalist_03,"Less Stuff Coaster STL — 3D Print Ready, Minimalist Aesthetic",Less Stuff,2.0,coaster_minimalist_03_less_stuff.stl,95Ø×4,45 min
stl_coaster_minimalist_04,"Slow Down Coaster STL — 3D Print Ready, Minimalist Aesthetic",Slow Down,2.0,coaster_minimalist_04_slow_down.stl,95Ø×4,45 min
stl_coaster_minimalist_05,"Be Here Now Coaster STL — 3D Print Ready, Minimalist Aesthetic",Be Here Now,2.0,coaster_minimalist_05_be_here_now.stl,95Ø×4,45 min
stl_coaster_minimalist_06,"Choose Joy Coaster STL — 3D Print Ready, Minimalist Aesthetic",Choose Joy,2.0,coaster_minimalist_06_choose_joy.stl,95Ø×4,45 min
stl_coaster_minimalist_07,"Begin Again Coaster STL — 3D Print Ready, Minimalist Aesthetic",Begin Again,2.0,coaster_minimalist_07_begin_again.stl,95Ø×4,45 min
stl_coaster_minimalist_08,"Stay Soft Coaster STL — 3D Print Ready, Minimalist Aesthetic",Stay Soft,2.0,coaster_minimalist_08_stay_soft.stl,95Ø×4,45 min
