design_id,title,variant_text,price_cults3d_eur,stl_file,size_mm,estimated_print_time
stl_coaster_coffee_01,"Coffee First Coaster STL — 3D Print Ready, Coffee Aesthetic",Coffee First,2.0,coaster_coffee_01_coffee_first.stl,95Ø×4,45 min
stl_coaster_coffee_02,"Espresso Mood Coaster STL — 3D Print Ready, Coffee Aesthetic",Espresso Mood,2.0,coaster_coffee_02_espresso_mood.stl,95Ø×4,45 min
stl_coaster_coffee_03,"Bean There Coaster STL — 3D Print Ready, Coffee Aesthetic",Bean There,2.0,coaster_coffee_03_bean_there.stl,95Ø×4,45 min
stl_coaster_coffee_04,"Decaf is Dead Coaster STL — 3D Print Ready, Coffee Aesthetic",Decaf is Dead,2.0,coaster_coffee_04_decaf_is_dead.stl,95Ø×4,45 min
stl_coaster_coffee_05,"Latte Love Coaster STL — 3D Print Ready, Coffee Aesthetic",Latte Love,2.0,coaster_coffee_05_latte_love.stl,95Ø×4,45 min
stl_coaster_coffee_06,"Caffeinated Soul Coaster STL — 3D Print Ready, Coffee Aesthetic",Caffeinated Soul,2.0,coaster_coffee_06_caffeinated_soul.stl,95Ø×4,45 min
stl_coaster_coffee_07,"Espresso Yourself Coaster STL — 3D Print Ready, Coffee Aesthetic",Espresso Yourself,2.0,coaster_coffee_07_espresso_yourself.stl,95Ø×4,45 min
stl_coaster_coffee_08,"Brew Master Coaster STL — 3D Print Ready, Coffee Aesthetic",Brew Master,2.0,coaster_coffee_08_brew_master.stl,95Ø×4,45 min
